Frequenz,Ue,Ua,Phi,dB
10,1.00E-01,5.57E-01,180,14.9171039034746
50,9.70E-02,5.16E-01,179,14.5175593472193
100,9.67E-02,5.27E-01,179,14.7260344897957
500,9.60E-02,5.24E-01,178,14.7412010788832
1.00E+03,9.70E-02,5.22E-01,178,14.6179753747203
5.00E+03,9.70E-02,5.07E-01,177,14.3647245013418
1.00E+04,9.70E-02,5.03E-01,175,14.2959250157937
2.00E+04,9.75E-02,5.03E-01,172,14.2512673871478
3.00E+04,9.80E-02,4.98E-01,168,14.1200653413445
4.00E+04,9.80E-02,4.90E-01,163,13.9794000867204
5.00E+04,9.80E-02,4.82E-01,160,13.8364192509271
7.00E+04,9.80E-02,4.62E-01,153,13.4683179972726
1.00E+05,1.00E-01,4.28E-01,142,12.6288753802634
1.50E+05,1.02E-01,3.67E-01,130,11.1213178498034
2.00E+05,1.02E-01,3.13E-01,120,9.73888331569062
2.50E+05,1.01E-01,2.70E-01,112,8.54084780752689
3.00E+05,1.02E-01,2.33E-01,108,7.17511498528203
4.00E+05,1.02E-01,1.84E-01,99,5.12435302495238
5.00E+05,1.02E-01,1.51E-01,91,3.40753551062504
6.00E+05,1.02E-01,1.28E-01,85,1.97219595771902
7.00E+05,1.02E-01,1.10E-01,80,0.655850267926149
8.00E+05,1.02E-01,9.80E-02,75,-0.347481921388455
1.00E+06,1.03E-01,7.80E-02,68,-2.41485244029384
