x-axis,1,2
second,Volt,Volt
+0.0E+00,+3.382035172E+00,+588.018242E-03
+1.563E-06,+3.381231152E+00,+588.018242E-03
+3.125E-06,+3.380427132E+00,+588.018242E-03
+4.688E-06,+3.379623112E+00,+588.018242E-03
+6.250E-06,+3.378819091E+00,+588.018242E-03
+7.813E-06,+3.378015071E+00,+588.018242E-03
+9.375E-06,+3.377211051E+00,+588.018242E-03
+10.938E-06,+3.376407031E+00,+588.018242E-03
+12.500E-06,+3.375603011E+00,+588.018242E-03
+14.063E-06,+3.374798991E+00,+588.018242E-03
+15.625E-06,+3.373994971E+00,+588.018242E-03
+17.188E-06,+3.372788941E+00,+588.018242E-03
+18.750E-06,+3.371582911E+00,+588.018242E-03
+20.313E-06,+3.370376880E+00,+588.018242E-03
+21.875E-06,+3.369170850E+00,+588.018242E-03
+23.438E-06,+3.367964820E+00,+588.018242E-03
+25.000E-06,+3.366758790E+00,+588.018242E-03
+26.563E-06,+3.365552760E+00,+588.018242E-03
+28.125E-06,+3.364346730E+00,+588.018242E-03
+29.688E-06,+3.363140700E+00,+588.018242E-03
+31.250E-06,+3.361934669E+00,+588.018242E-03
+32.813E-06,+3.360728639E+00,+588.018242E-03
+34.375E-06,+3.359522609E+00,+588.018242E-03
+35.938E-06,+3.358316579E+00,+588.018242E-03
+37.500E-06,+3.357110549E+00,+588.018242E-03
+39.063E-06,+3.355904519E+00,+588.018242E-03
+40.625E-06,+3.354698489E+00,+588.018242E-03
+42.188E-06,+3.353492459E+00,+588.018242E-03
+43.750E-06,+3.352286428E+00,+588.018242E-03
+45.313E-06,+3.351080398E+00,+588.018242E-03
+46.875E-06,+3.349874368E+00,+588.018242E-03
+48.438E-06,+3.348668338E+00,+588.018242E-03
+50.000E-06,+3.347462308E+00,+588.018242E-03
+51.563E-06,+3.346256278E+00,+588.018242E-03
+53.125E-06,+3.345050248E+00,+588.018242E-03
+54.688E-06,+3.343844217E+00,+588.018242E-03
+56.250E-06,+3.342638187E+00,+588.018242E-03
+57.813E-06,+3.341432157E+00,+588.018242E-03
+59.375E-06,+3.340226127E+00,+588.018242E-03
+60.938E-06,+3.339020097E+00,+588.018242E-03
+62.500E-06,+3.337814067E+00,+588.018242E-03
+64.063E-06,+3.336608037E+00,+588.018242E-03
+65.625E-06,+3.335402006E+00,+588.018242E-03
+67.188E-06,+3.334195976E+00,+588.018242E-03
+68.750E-06,+3.332989946E+00,+588.018242E-03
+70.313E-06,+3.331783916E+00,+588.018242E-03
+71.875E-06,+3.330577886E+00,+588.018242E-03
